long1, lat1, long2, lat2, distance
-105.0844, 40.5853, -103.2077, 40.6255, 209.39
-105.0844, 40.5853, -108.729, 39.1589, 505.32
-105.0844, 40.5853, -105.1686, 39.9528, 93.43
-105.0844, 40.5853, -106.8317, 40.485, 301.76
-105.0844, 40.5853, -104.8961, 39.458, 163.47
-105.0844, 40.5853, -105.0811, 40.3083, 46.89
-104.9719, 39.868, -105.0649, 39.813, 16.14
-104.9719, 39.868, -105.0372, 39.8367, 9.21
-104.9719, 39.868, -104.7091, 40.4233, 92.21
-104.9719, 39.868, -104.6091, 38.2544, 198.35
-104.9719, 39.868, -104.8772, 39.5807, 39.91
-104.9719, 39.868, -105.2705, 40.015, 40.05
-104.9719, 39.868, -105.1092, 40.1717, 48.03
-104.9719, 39.868, -105.0526, 40.3989, 66.43
-104.9719, 39.868, -105.0866, 39.9205, 21.54
-104.9719, 39.868, -104.8561, 39.3722, 63.79
-104.9719, 39.868, -108.5507, 39.0639, 402.99
-104.9719, 39.868, -104.9339, 39.8083, 13.05
-104.9719, 39.868, -104.7658, 39.5194, 60.46
-104.9719, 39.868, -105.0166, 39.6133, 32.59
-104.9719, 39.868, -104.9014, 40.4775, 77.96
-104.9719, 39.868, -104.8205, 39.9853, 22.35
-104.9719, 39.868, -104.9872, 39.8855, 3.70
-104.9719, 39.868, -105.1, 40.0003, 29.17
-104.9719, 39.868, -104.7008, 38.6822, 151.15
-104.9719, 39.868, -104.7105, 40.3793, 77.58
-104.9719, 39.868, -105.1319, 39.9778, 30.71
-104.9719, 39.868, -107.8762, 38.4783, 487.92
-104.9719, 39.868, -105.2305, 39.7542, 30.40
-104.9719, 39.868, -107.88, 37.2753, 552.33
-104.9719, 39.868, -104.9122, 40.3369, 59.81
-104.9719, 39.868, -105.2283, 38.4467, 200.60
-104.9719, 39.868, -104.9361, 40.1314, 35.33
-104.9719, 39.868, -104.9114, 39.6159, 36.18
-104.9719, 39.868, -104.961, 40.1112, 31.01
-104.9719, 39.868, -105.0142, 39.8661, 4.66
-104.9719, 39.868, -104.8864, 39.5372, 46.76
-104.9719, 39.868, -103.2077, 40.6255, 193.28
-104.9719, 39.868, -108.729, 39.1589, 419.67
-104.9719, 39.868, -105.1686, 39.9528, 29.07
-104.9719, 39.868, -106.8317, 40.485, 261.68
-104.9719, 39.868, -104.8961, 39.458, 56.76
-104.9719, 39.868, -105.0811, 40.3083, 59.83
-105.0649, 39.813, -105.0372, 39.8367, 4.99
-105.0649, 39.813, -104.7091, 40.4233, 89.94
-105.0649, 39.813, -104.6091, 38.2544, 193.86
-105.0649, 39.813, -104.8772, 39.5807, 35.42
-105.0649, 39.813, -105.2705, 40.015, 33.09
-105.0649, 39.813, -105.1092, 40.1717, 61.65
-105.0649, 39.813, -105.0526, 40.3989, 80.05
-105.0649, 39.813, -105.0866, 39.9205, 14.58
-105.0649, 39.813, -104.8561, 39.3722, 59.30
-105.0649, 39.813, -108.5507, 39.0639, 392.26
-105.0649, 39.813, -104.9339, 39.8083, 16.78
-105.0649, 39.813, -104.7658, 39.5194, 50.21
-105.0649, 39.813, -105.0166, 39.6133, 28.10
-105.0649, 39.813, -104.9014, 40.4775, 91.58
-105.0649, 39.813, -104.8205, 39.9853, 34.34
-105.0649, 39.813, -104.9872, 39.8855, 17.33
-105.0649, 39.813, -105.1, 40.0003, 23.44
-105.0649, 39.813, -104.7008, 38.6822, 146.66
-105.0649, 39.813, -104.7105, 40.3793, 83.49
-105.0649, 39.813, -105.1319, 39.9778, 22.04
-105.0649, 39.813, -107.8762, 38.4783, 477.19
-105.0649, 39.813, -105.2305, 39.7542, 19.66
-105.0649, 39.813, -107.88, 37.2753, 541.60
-105.0649, 39.813, -104.9122, 40.3369, 73.43
-105.0649, 39.813, -105.2283, 38.4467, 196.11
-105.0649, 39.813, -104.9361, 40.1314, 48.95
-105.0649, 39.813, -104.9114, 39.6159, 31.69
-105.0649, 39.813, -104.961, 40.1112, 44.63
-105.0649, 39.813, -105.0142, 39.8661, 10.58
-105.0649, 39.813, -104.8864, 39.5372, 42.27
-105.0649, 39.813, -103.2077, 40.6255, 204.53
-105.0649, 39.813, -108.729, 39.1589, 408.94
-105.0649, 39.813, -105.1686, 39.9528, 22.12
-105.0649, 39.813, -106.8317, 40.485, 250.94
-105.0649, 39.813, -104.8961, 39.458, 52.27
-105.0649, 39.813, -105.0811, 40.3083, 73.45
-105.0372, 39.8367, -104.7091, 40.4233, 86.22
-105.0372, 39.8367, -104.6091, 38.2544, 194.17
-105.0372, 39.8367, -104.8772, 39.5807, 35.73
-105.0372, 39.8367, -105.2705, 40.015, 32.41
-105.0372, 39.8367, -105.1092, 40.1717, 58.07
-105.0372, 39.8367, -105.0526, 40.3989, 76.47
-105.0372, 39.8367, -105.0866, 39.9205, 13.90
-105.0372, 39.8367, -104.8561, 39.3722, 59.62
-105.0372, 39.8367, -108.5507, 39.0639, 396.96
-105.0372, 39.8367, -104.9339, 39.8083, 13.10
-105.0372, 39.8367, -104.7658, 39.5194, 50.52
-105.0372, 39.8367, -105.0166, 39.6133, 28.41
-105.0372, 39.8367, -104.9014, 40.4775, 88.00
-105.0372, 39.8367, -104.8205, 39.9853, 30.62
-105.0372, 39.8367, -104.9872, 39.8855, 13.74
-105.0372, 39.8367, -105.1, 40.0003, 22.76
-105.0372, 39.8367, -104.7008, 38.6822, 146.97
-105.0372, 39.8367, -104.7105, 40.3793, 79.76
-105.0372, 39.8367, -105.1319, 39.9778, 21.36
-105.0372, 39.8367, -107.8762, 38.4783, 481.89
-105.0372, 39.8367, -105.2305, 39.7542, 24.37
-105.0372, 39.8367, -107.88, 37.2753, 546.30
-105.0372, 39.8367, -104.9122, 40.3369, 69.84
-105.0372, 39.8367, -105.2283, 38.4467, 196.42
-105.0372, 39.8367, -104.9361, 40.1314, 45.37
-105.0372, 39.8367, -104.9114, 39.6159, 32.00
-105.0372, 39.8367, -104.961, 40.1112, 41.05
-105.0372, 39.8367, -105.0142, 39.8661, 5.60
-105.0372, 39.8367, -104.8864, 39.5372, 42.58
-105.0372, 39.8367, -103.2077, 40.6255, 200.81
-105.0372, 39.8367, -108.729, 39.1589, 413.64
-105.0372, 39.8367, -105.1686, 39.9528, 21.44
-105.0372, 39.8367, -106.8317, 40.485, 255.65
-105.0372, 39.8367, -104.8961, 39.458, 52.58
-105.0372, 39.8367, -105.0811, 40.3083, 69.87
-104.7091, 40.4233, -104.6091, 38.2544, 286.12
-104.7091, 40.4233, -104.8772, 39.5807, 132.94
-104.7091, 40.4233, -105.2705, 40.015, 106.12
-104.7091, 40.4233, -105.1092, 40.1717, 69.38
-104.7091, 40.4233, -105.0526, 40.3989, 34.41
-104.7091, 40.4233, -105.0866, 39.9205, 90.01
-104.7091, 40.4233, -104.8561, 39.3722, 151.57
-104.7091, 40.4233, -108.5507, 39.0639, 476.67
-104.7091, 40.4233, -104.9339, 39.8083, 79.53
-104.7091, 40.4233, -104.7658, 39.5194, 125.89
-104.7091, 40.4233, -105.0166, 39.6133, 106.31
-104.7091, 40.4233, -104.9014, 40.4775, 22.49
-104.7091, 40.4233, -104.8205, 39.9853, 56.69
-104.7091, 40.4233, -104.9872, 39.8855, 87.04
-104.7091, 40.4233, -105.1, 40.0003, 83.90
-104.7091, 40.4233, -104.7008, 38.6822, 238.92
-104.7091, 40.4233, -104.7105, 40.3793, 6.02
-104.7091, 40.4233, -105.1319, 39.9778, 91.96
-104.7091, 40.4233, -107.8762, 38.4783, 561.61
-104.7091, 40.4233, -105.2305, 39.7542, 104.08
-104.7091, 40.4233, -107.88, 37.2753, 626.01
-104.7091, 40.4233, -104.9122, 40.3369, 29.14
-104.7091, 40.4233, -105.2283, 38.4467, 288.37
-104.7091, 40.4233, -104.9361, 40.1314, 49.40
-104.7091, 40.4233, -104.9114, 39.6159, 120.30
-104.7091, 40.4233, -104.961, 40.1112, 53.75
-104.7091, 40.4233, -105.0142, 39.8661, 91.48
-104.7091, 40.4233, -104.8864, 39.5372, 134.54
-104.7091, 40.4233, -103.2077, 40.6255, 162.31
-104.7091, 40.4233, -108.729, 39.1589, 493.35
-104.7091, 40.4233, -105.1686, 39.9528, 95.15
-104.7091, 40.4233, -106.8317, 40.485, 335.36
-104.7091, 40.4233, -104.8961, 39.458, 144.53
-104.7091, 40.4233, -105.0811, 40.3083, 48.61
-104.6091, 38.2544, -104.8772, 39.5807, 160.07
-104.6091, 38.2544, -105.2705, 40.015, 227.93
-104.6091, 38.2544, -105.1092, 40.1717, 264.91
-104.6091, 38.2544, -105.0526, 40.3989, 283.31
-104.6091, 38.2544, -105.0866, 39.9205, 209.42
-104.6091, 38.2544, -104.8561, 39.3722, 138.14
-104.6091, 38.2544, -108.5507, 39.0639, 572.49
-104.6091, 38.2544, -104.9339, 39.8083, 196.64
-104.6091, 38.2544, -104.7658, 39.5194, 168.95
-104.6091, 38.2544, -105.0166, 39.6133, 177.85
-104.6091, 38.2544, -104.9014, 40.4775, 294.84
-104.6091, 38.2544, -104.8205, 39.9853, 228.07
-104.6091, 38.2544, -104.9872, 39.8855, 200.10
-104.6091, 38.2544, -105.1, 40.0003, 246.25
-104.6091, 38.2544, -104.7008, 38.6822, 51.79
-104.6091, 38.2544, -104.7105, 40.3793, 282.67
-104.6091, 38.2544, -105.1319, 39.9778, 247.79
-104.6091, 38.2544, -107.8762, 38.4783, 364.05
-104.6091, 38.2544, -105.2305, 39.7542, 206.38
-104.6091, 38.2544, -107.88, 37.2753, 436.07
-104.6091, 38.2544, -104.9122, 40.3369, 276.68
-104.6091, 38.2544, -105.2283, 38.4467, 64.56
-104.6091, 38.2544, -104.9361, 40.1314, 245.53
-104.6091, 38.2544, -104.9114, 39.6159, 167.26
-104.6091, 38.2544, -104.961, 40.1112, 247.89
-104.6091, 38.2544, -105.0142, 39.8661, 201.04
-104.6091, 38.2544, -104.8864, 39.5372, 157.55
-104.6091, 38.2544, -103.2077, 40.6255, 388.44
-104.6091, 38.2544, -108.729, 39.1589, 589.17
-104.6091, 38.2544, -105.1686, 39.9528, 216.95
-104.6091, 38.2544, -106.8317, 40.485, 431.17
-104.6091, 38.2544, -104.8961, 39.458, 147.80
-104.6091, 38.2544, -105.0811, 40.3083, 276.70
-104.8772, 39.5807, -105.2705, 40.015, 68.28
-104.8772, 39.5807, -105.1092, 40.1717, 111.16
-104.8772, 39.5807, -105.0526, 40.3989, 129.55
-104.8772, 39.5807, -105.0866, 39.9205, 49.77
-104.8772, 39.5807, -104.8561, 39.3722, 24.30
-104.8772, 39.5807, -108.5507, 39.0639, 410.29
-104.8772, 39.5807, -104.9339, 39.8083, 36.99
-104.8772, 39.5807, -104.7658, 39.5194, 15.20
-104.8772, 39.5807, -105.0166, 39.6133, 23.29
-104.8772, 39.5807, -104.9014, 40.4775, 141.09
-104.8772, 39.5807, -104.8205, 39.9853, 59.69
-104.8772, 39.5807, -104.9872, 39.8855, 40.46
-104.8772, 39.5807, -105.1, 40.0003, 92.50
-104.8772, 39.5807, -104.7008, 38.6822, 111.65
-104.8772, 39.5807, -104.7105, 40.3793, 108.84
-104.8772, 39.5807, -105.1319, 39.9778, 57.22
-104.8772, 39.5807, -107.8762, 38.4783, 433.31
-104.8772, 39.5807, -105.2305, 39.7542, 51.81
-104.8772, 39.5807, -107.88, 37.2753, 594.41
-104.8772, 39.5807, -104.9122, 40.3369, 122.93
-104.8772, 39.5807, -105.2283, 38.4467, 161.10
-104.8772, 39.5807, -104.9361, 40.1314, 91.78
-104.8772, 39.5807, -104.9114, 39.6159, 7.62
-104.8772, 39.5807, -104.961, 40.1112, 94.13
-104.8772, 39.5807, -105.0142, 39.8661, 41.39
-104.8772, 39.5807, -104.8864, 39.5372, 7.26
-104.8772, 39.5807, -103.2077, 40.6255, 234.68
-104.8772, 39.5807, -108.729, 39.1589, 426.97
-104.8772, 39.5807, -105.1686, 39.9528, 57.31
-104.8772, 39.5807, -106.8317, 40.485, 268.98
-104.8772, 39.5807, -104.8961, 39.458, 17.26
-104.8772, 39.5807, -105.0811, 40.3083, 122.95
-105.2705, 40.015, -105.1092, 40.1717, 24.83
-105.2705, 40.015, -105.0526, 40.3989, 82.68
-105.2705, 40.015, -105.0866, 39.9205, 21.05
-105.2705, 40.015, -104.8561, 39.3722, 92.27
-105.2705, 40.015, -108.5507, 39.0639, 426.37
-105.2705, 40.015, -104.9339, 39.8083, 41.62
-105.2705, 40.015, -104.7658, 39.5194, 101.18
-105.2705, 40.015, -105.0166, 39.6133, 61.06
-105.2705, 40.015, -104.9014, 40.4775, 94.21
-105.2705, 40.015, -104.8205, 39.9853, 47.66
-105.2705, 40.015, -104.9872, 39.8855, 30.94
-105.2705, 40.015, -105.1, 40.0003, 20.72
-105.2705, 40.015, -104.7008, 38.6822, 179.62
-105.2705, 40.015, -104.7105, 40.3793, 93.83
-105.2705, 40.015, -105.1319, 39.9778, 17.05
-105.2705, 40.015, -107.8762, 38.4783, 511.30
-105.2705, 40.015, -105.2305, 39.7542, 53.78
-105.2705, 40.015, -107.88, 37.2753, 575.71
-105.2705, 40.015, -104.9122, 40.3369, 76.06
-105.2705, 40.015, -105.2283, 38.4467, 229.07
-105.2705, 40.015, -104.9361, 40.1314, 51.58
-105.2705, 40.015, -104.9114, 39.6159, 64.66
-105.2705, 40.015, -104.961, 40.1112, 47.26
-105.2705, 40.015, -105.0142, 39.8661, 31.34
-105.2705, 40.015, -104.8864, 39.5372, 75.24
-105.2705, 40.015, -103.2077, 40.6255, 229.33
-105.2705, 40.015, -108.729, 39.1589, 443.05
-105.2705, 40.015, -105.1686, 39.9528, 12.71
-105.2705, 40.015, -106.8317, 40.485, 285.06
-105.2705, 40.015, -104.8961, 39.458, 85.23
-105.2705, 40.015, -105.0811, 40.3083, 50.56
-105.1092, 40.1717, -105.0526, 40.3989, 30.48
-105.1092, 40.1717, -105.0866, 39.9205, 29.52
-105.1092, 40.1717, -104.8561, 39.3722, 129.59
-105.1092, 40.1717, -108.5507, 39.0639, 447.73
-105.1092, 40.1717, -104.9339, 39.8083, 57.79
-105.1092, 40.1717, -104.7658, 39.5194, 103.92
-105.1092, 40.1717, -105.0166, 39.6133, 77.33
-105.1092, 40.1717, -104.9014, 40.4775, 57.11
-105.1092, 40.1717, -104.8205, 39.9853, 45.94
-105.1092, 40.1717, -104.9872, 39.8855, 44.40
-105.1092, 40.1717, -105.1, 40.0003, 20.01
-105.1092, 40.1717, -104.7008, 38.6822, 216.95
-105.1092, 40.1717, -104.7105, 40.3793, 56.72
-105.1092, 40.1717, -105.1319, 39.9778, 25.42
-105.1092, 40.1717, -107.8762, 38.4783, 532.66
-105.1092, 40.1717, -105.2305, 39.7542, 75.14
-105.1092, 40.1717, -107.88, 37.2753, 597.07
-105.1092, 40.1717, -104.9122, 40.3369, 38.95
-105.1092, 40.1717, -105.2283, 38.4467, 266.40
-105.1092, 40.1717, -104.9361, 40.1314, 20.77
-105.1092, 40.1717, -104.9114, 39.6159, 80.92
-105.1092, 40.1717, -104.961, 40.1112, 20.90
-105.1092, 40.1717, -105.0142, 39.8661, 48.84
-105.1092, 40.1717, -104.8864, 39.5372, 112.56
-105.1092, 40.1717, -103.2077, 40.6255, 204.82
-105.1092, 40.1717, -108.729, 39.1589, 464.41
-105.1092, 40.1717, -105.1686, 39.9528, 30.51
-105.1092, 40.1717, -106.8317, 40.485, 306.41
-105.1092, 40.1717, -104.8961, 39.458, 122.56
-105.1092, 40.1717, -105.0811, 40.3083, 18.49
-105.0526, 40.3989, -105.0866, 39.9205, 65.71
-105.0526, 40.3989, -104.8561, 39.3722, 147.93
-105.0526, 40.3989, -108.5507, 39.0639, 466.06
-105.0526, 40.3989, -104.9339, 39.8083, 76.12
-105.0526, 40.3989, -104.7658, 39.5194, 122.25
-105.0526, 40.3989, -105.0166, 39.6133, 95.66
-105.0526, 40.3989, -104.9014, 40.4775, 22.69
-105.0526, 40.3989, -104.8205, 39.9853, 64.28
-105.0526, 40.3989, -104.9872, 39.8855, 62.74
-105.0526, 40.3989, -105.1, 40.0003, 59.60
-105.0526, 40.3989, -104.7008, 38.6822, 235.28
-105.0526, 40.3989, -104.7105, 40.3793, 32.86
-105.0526, 40.3989, -105.1319, 39.9778, 67.66
-105.0526, 40.3989, -107.8762, 38.4783, 550.99
-105.0526, 40.3989, -105.2305, 39.7542, 93.47
-105.0526, 40.3989, -107.88, 37.2753, 615.40
-105.0526, 40.3989, -104.9122, 40.3369, 18.30
-105.0526, 40.3989, -105.2283, 38.4467, 284.73
-105.0526, 40.3989, -104.9361, 40.1314, 39.10
-105.0526, 40.3989, -104.9114, 39.6159, 99.26
-105.0526, 40.3989, -104.961, 40.1112, 39.23
-105.0526, 40.3989, -105.0142, 39.8661, 67.17
-105.0526, 40.3989, -104.8864, 39.5372, 130.90
-105.0526, 40.3989, -103.2077, 40.6255, 188.87
-105.0526, 40.3989, -108.729, 39.1589, 482.74
-105.0526, 40.3989, -105.1686, 39.9528, 70.85
-105.0526, 40.3989, -106.8317, 40.485, 324.75
-105.0526, 40.3989, -104.8961, 39.458, 140.89
-105.0526, 40.3989, -105.0811, 40.3083, 12.50
-105.0866, 39.9205, -104.8561, 39.3722, 74.30
-105.0866, 39.9205, -108.5507, 39.0639, 408.41
-105.0866, 39.9205, -104.9339, 39.8083, 23.66
-105.0866, 39.9205, -104.7658, 39.5194, 84.56
-105.0866, 39.9205, -105.0166, 39.6133, 43.09
-105.0866, 39.9205, -104.9014, 40.4775, 77.59
-105.0866, 39.9205, -104.8205, 39.9853, 31.04
-105.0866, 39.9205, -104.9872, 39.8855, 12.15
-105.0866, 39.9205, -105.1, 40.0003, 9.91
-105.0866, 39.9205, -104.7008, 38.6822, 161.66
-105.0866, 39.9205, -104.7105, 40.3793, 77.21
-105.0866, 39.9205, -105.1319, 39.9778, 10.47
-105.0866, 39.9205, -107.8762, 38.4783, 493.34
-105.0866, 39.9205, -105.2305, 39.7542, 35.81
-105.0866, 39.9205, -107.88, 37.2753, 557.74
-105.0866, 39.9205, -104.9122, 40.3369, 59.44
-105.0866, 39.9205, -105.2283, 38.4467, 211.11
-105.0866, 39.9205, -104.9361, 40.1314, 34.96
-105.0866, 39.9205, -104.9114, 39.6159, 46.69
-105.0866, 39.9205, -104.961, 40.1112, 30.64
-105.0866, 39.9205, -105.0142, 39.8661, 13.37
-105.0866, 39.9205, -104.8864, 39.5372, 57.27
-105.0866, 39.9205, -103.2077, 40.6255, 211.36
-105.0866, 39.9205, -108.729, 39.1589, 425.08
-105.0866, 39.9205, -105.1686, 39.9528, 9.95
-105.0866, 39.9205, -106.8317, 40.485, 267.09
-105.0866, 39.9205, -104.8961, 39.458, 67.26
-105.0866, 39.9205, -105.0811, 40.3083, 59.46
-104.8561, 39.3722, -108.5507, 39.0639, 436.68
-104.8561, 39.3722, -104.9339, 39.8083, 60.84
-104.8561, 39.3722, -104.7658, 39.5194, 33.15
-104.8561, 39.3722, -105.0166, 39.6133, 42.05
-104.8561, 39.3722, -104.9014, 40.4775, 159.03
